" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
این گوشی رو حدودا ۲ هفته است که دارم از دیجی کالا هم گرفتم البته بهم کادو داده شد اول این رو بگم که اصلا گوشی باز نیستم از گوشی فقط و فقط برای تماس متنی و مکالمهای و کارهای اینترنتی استفاده میکنم حالا گاهی هم عکسی میگیرم؛ البته بیشتر سلفی برای مخاطب خاصم اصلا هم اهل بازی نیستم؛ حداکثر تخته و حکم و شلم و این چیزای کم گرافیک! به جرأت میتونم بگم این دوربین با این قیمت هرچی که لازم داشتم رو بهم داده: ۱) باطری خخخخیلی عالی: وای فای یا دیتام کل روز روشنه به خاطر کار و تماسهام روزی حداقل ۳-۴ ساعت تو اینترنت و تلگرام و ایمیل و … هستم حداقل هم روزی ۱ تا ۲ ساعت صحبت میکنم بعد از ۷۲ ساعت ۱۵ درصد باطری داره باطریش هم با قابلیت شارژ سریعش زیر ۲ ساعت به صد در صد میرسه ۲) دو سیم کارت با قابلیت اتصال کارت حافظه: البته ۱۰ گیگ حافظه خالی داره من هم هر دو سه شب یکبار گوشی رو تمیز میکنم و فایلها رو یا پاک میکنم یا میفرستمشون تو لپ تاپ نیازی به حارت حافظه ندارم دو تا سیم کارت گذاشتم مدیریت سیم کارتش هم جالبه otg داره که خوبه ولی استفاده مداوم ندارم برای اونایی که اقتصادی فکر میکنن میگم: یه گزینه داره که شما میتونید شمارههای دفتر تلفنتون رو به تفکیک به هر کدوم از دو سیم کارتتون اختصاص بدید مثلا من شمارههای ثابت همراه اول و رایتل مخاطبهام رو به سیم کارت رایتلم و شمارههای ایرانسلشون رو به سیم کارت ایرانسلم اختصاص دادم دیگه نیازی نیست سیم کارتها رو فعال و غیرفعال کنم خودش اتوماتیک از سیم کارت اختصاص داده شده شماره گیری میکنه! ۳) سرعت کارکرد برنامهها و تاچ اون مناسبه تا حالا نه تاخیری دیدم نه هنگ کرده البته در کار با وسایل الکترونیک عادت ندارم چند تا برنامه رو باز بذارم و باهاشون کار نکنم اگر کاری باهاشون نداشته باشم میبندمشون تا ram رو الکی اشغال نکنن ۴) خوندهام که میگویند نور صفحه مناسبی نداره؟! بنده در لامرد نزدیکیهای عسلویه کار میکنم و بالای ۵-۶ ساعت زیر نور شدید افتاب هستم نمیدونم سایرین چه انتظاری از صفحه نمایششون دارند؟! من که زیر نور افتاب مشکلی ندیدم البته قاعدتا صفحه گوشی رو زیر نور مستقیم افتاب نمیگیرم! مگر عقل ندارم؟! هرچند نور محیط بسیار بسیار زیاد هست برخی دوستان همکار در اینجا سامسونگ s۷ و اپل ۷ هم دارند برتری ملموسی ازشون در این زمینه ندیدم ۵) ۴g داره عالیه ۶) ماشین حساب عالی داره! ۷) طراحی ساده و شیکی داره البته این موضوع صرفا سلیقهای است ۸) قاب هوشمندش خیلی خوب کار میکنه و بسیار زیبا و شکیله ۹) قابلیت دو ضربه ایش برای باز و بسته کردن صفحه نمایش خیلی خوب و روانه! ۱۰) قابلیت reader mode داره و خوبه ۱۱) سنسور قطب نما داره ۱۲) خوش دسته ۱۳) انگار قابلیت پاوربانک هم داره که البته خودم تا به حال ازش استفاده نکردم ۱۴) نرم افزارهای مناسب برای کار با فایلهای excel و word و power point چند تا مورد هم دیدم که به نظرم ضعف گوشیه: ۱) صدای اسپیکر گوشی پایینه نه اینکه نشنویم ولی پایینه مثلا به درد موسیقی گوش دادن تو اتاق نمیخوره ۲) کیفیت دوربین اولش متوسطه که هیچ! ولی فکر کنم حداقل چند تا قابلیت نرم افزاری رو دوربینش پیش بینی میکردند بهتر میشد اپشنهاش خیلی کم و ضعیفه ۳) یه مورد جالب! البته چون گوشی باز نیستم نه علتش رو میدونم و نه راه حل رفع اون رو: گاهی اگر گوشی را روی بعضی سطوح مثل تشک بذارم تایپش خوب کار نمیکنه ولی اگر همون موقع دستم بگیرم یا بذارمش روی میز یا روی موکت راحت تایپ میکنه؟! عرض کردم گاهی و دلیلش رو هم نمیدونم ۴) برای مرور صفحات مختلف روی صفحه نمایش یا باید جلو جلو رفت یا عقب عقب اگر گردشی بود بهتر و راحتتر بود سرتون رو درد اوردم ولی گوشی خیلی خوبیه برای اونایی که گوشیشون رو برای تماس و اینترنت میخواهند! خرید اون رو حتما پیشنهاد میکنم! ,کیفیت دوربین اولش,neutral,"['باتری: Positive', 'سیم کارت: Positive', 'سرعت کارکرد برنامهها: Positive', 'نمایش: Positive', 'ماشین حساب: Positive', 'طراحی: Positive', ' قاب هوشمند: Positive', 'ضربه: Positive', ' lezenور Mode: Positive', 'قطب نما: Positive', 'دستگاه: Positive', 'باتری Bank: Positive', 'نرم افزارها: Positive', 'صوت: Negative', ' Cameras: Mixed', 'Price: Positive']"
این گوشی رو داداشم خریده واقعا همچیش عالیه کیفیت صفحه نمایش واقعا عالیه چون تمام رنگها رو طبیعی نشون میده مثل آملد غیر واقعی نیست تمام بازیهارو بدون لگ میاره و باطریشم عالیه در کل تا یک تومن بهترین انتخابه ,"باطریشم, صفحه نمایش, گوشی","positive, positive, positive","['rů Arizانی: Positive', ' صفحه نمایش: Positive', 'rů بازیه: Positive', 'باتری: Positive']"
این گوشی رو دو ماه داشتم و بعد با V۱۰ معاوضش کردم. گوشی از همه لحاظ عالیه فقط تنها مشکلش صفحه نمایش سوپر آمولدش هست که به شدت به چشم فشار میاره. مثلا من نیم ساعت باهاش کار میکردم بعد که خودمو تو اینه میدیدم چشمام قرمز شده و پشت سرم احساس میکردم میخواد منفجر بشه. وگرنه باقی چیزاش عالی بود ,"این گوشی, V۱۰, صفحه نمایش","positive, neutral, negative","['صفحه نمایش: Negative', ' hardware: Positive']"
این گوشی رو دوهفتس خریدم خیلی خوبه برنامه هارو راحت اجرا میکنه دوربین قوی رام بالایی هم داره من پیشنهاد میکنم ,"دوربین, رام","positive, positive","['برنامه: Positive', 'ensity: Positive', 'جemand: Positive']"
این گوشی رو دوهفتس خریدم خیلی خوبه برنامه هارو راحت اجرا میکنه قوی رام بالایی هم داره من پیشنهاد میکنم ,این گوشی,positive,"['برنامه: Positive', ' Ram: Positive', 'Offer: Positive']"
این گوشی رو سه ماهه که دارم و ازش بسیار راضی ام ظاهری خیره کننده داره بهترین گوشی در این رده قیمتی بود ,این گوشی,positive,"['ظاهری: Positive', 'قیمتی: Positive']"
این گوشی رو شیش ماهی میشه پدرم داره میخواستم نتیجه رو بگم دوستانی که میخوان بگیرن این گوشی از نظر قدرت سخت افزاری فوق العاده است نسبت به قیمت ینی در حد باورنکردنی باتری گوشی اذیت نمیکنه … فقط صفحه نمایش گوشی واقعا ضعیفه ولی اگر براتون مهم سخت افزاره صددرصد پیشنهاد میکنم کیفیت دوربین راضی کننده صدا و اسپیکر راضی کننده موفق باشید ,"سخت افزاری, صفحه نمایش, صدا, اسپیکر, دوربین","positive, negative, neutral, neutral, neutral","['قدرت سخت افزاری: Positive', 'باورنایی باتری: Positive', 'صفحه نمایش: Negative']"
این گوشی رو مادرم برام هدیه گرفت من قبلش فقط ھوآوی داشتم اپل باز هم نیستم کلی هم هوآوی داشتم چون واقعا برند خوبیه اندازه پولی که میدی بیشتر کارایی میگیری اگر بخوام بررسی خودمو تو چند روزی که گوشی دستم بود رو بدونید باشه میگم بدون تعصب. سخت افزار نا امید کننده برای گیمرها و کسایی که خیلی سریع کار میکنن با گوشی. تاچ خیلی بد حسگر اثر انگشت بد و کیفیت صفحه نمیاش معمولی دوربین عالی واقعا حرف نداره فوق الاده زیبا خوش دست باتری عالی و اسپیکر شفاف هر نگاهی رو مجذوب خودش میکنه خلاصه یجورای کلاس داره ,"باتری, کلاس, خوش دست, حسگر اثر انگشت, تاچ, سخت افزار, صفحه نمیاش, اسپیکر, دوربین","positive, positive, positive, negative, negative, negative, neutral, positive, positive","['mband: Positive', 'رو مادرم: Positive', 'gantsاز: Negative', 'حسگر: Negative', ' صفحه: Negative', ' */;Positive', 'باتری: Positive', 'اسپیکر: Positive']"
این گوشی رو من اسفند ۹۵ گرفتم و الان ۹ ماه میشه دارمش داغ نمیکنه و سرعت دانلودش عالیه درمجموع با توجه به قیمتش خوبه ,"گوشی, سرعت, قیمتش","positive, positive, positive","['انتظار: Positive', 'سرعت دانلودش: Positive', 'دما: Negative']"
این گوشی رو من حدود ۴ ماهه که دارم و خیلی ازش راضیم هم سیستم عاملش فوق العادس و دوربینش هم خیلی خوبه من خودم s۷ داشتم ولی این یه چیز دیگست فوق العادست فقط otg این گوشی کمه اگر میخواید یک گوشی خوب و کارکن رو بخرید و تا حدود ۱ میلیون تومن هزینه کنید پول هاتون رو جمع کنید و این گوشی فوق العاده رو بخرید این گوشی عالیه ,"این گوشی, دوربینش, سیستم عاملش, otg این گوشی, s۷","positive, positive, positive, negative, negative","['سیستم عامل: Positive', 'سیستем: Positive', 'دوربین: Positive', 'باتری: Negative']"
این گوشی رو من دو ماه پیش از فروشگاه چهارسو خریدم واقعا عالیه در رنج خودش الانم یکی برا دوستم از دیجی کالا سفارش دادم اگه دنبال یه گوشی با قیمت متوسط و بدون دردسر هستید حتما اینو بگیرید که پشیمون نمیشید ,قیمت,neutral,"['قسمان: Positive', ' macrophage: Positive', 'باتری: Negative']"
این گوشی رو من چند وقت دارم عالیه سلفیش مشکل نداره برای من که عالیه مگر اینکه برای ۲۰۱۶ باشه من گوشی اچ تی سی هم داشتم خیلی زود از بازار خارج می شه و اصلا طراحی خوبی نسبت به گوشی های هوشمند جدید نداره و زود از رده خارج می شه برای کسانی که عادت استفاده از اپل رو دارند حتما این گوشی رو پیشنهاد می کنم عالیه ,"اچ تی سی, این گوشی","negative, positive","['سلف: Positive', ' 디자인: Negative', 'باتری: Negative']"
این گوشی رو من ۱ ساله تقریبا دارم و تا حالا تعمیر نبردمش ازش راضیم و بعضی موقع ها منو شگفت زده کرده یه بار از دستم افتاد و از فاصله۱۰ متر به پایین افتاد با گارد هیچ اتفاقی براش نیوفتاد ویه بار هم تو استخر بردمش و داخل اب باهام بود و انگار نه انگار داخل اب باهاش کار میکردم در کل گوشیه خوبیه هر کی بخره پشیمون نمیشه فقط ساخت ویتنام باشه پشت خود گوشی نوشته مرسی ,این گوشی,positive,"['مدار: Positive', 'ستخر: Positive', 'آب‌resist: Positive', ' Performance: Positive']"
این گوشی رو هشت ماهه که خریدم. حتی یه بار هم هنگ نکرده. من گوشی زیاد عوض میکنم و برندهای مختلفی رو داشتم. به جرات میگم که این گوشی از رده بالاتر های برندای دیگه سرتره. شارژ دهی عالی سرعت عالی. از وقتی اندروید هفت اومده فوق العاده شده اصلا انگار یه گوشی دیگه شده. حتما بگیرید اگه قصد خرید دارین پشیمون نمیشین. این گوشی همه ی نیازهایی که از یه گوشی هوشمند داشتم برآورده کرده ,"شارژ دهی, سرعت","positive, positive","['برنامه: Positive', 'شارژ: Positive', 'سرعت: Positive', 'ظرفیت: Positive', ' Design: Positive']"
این گوشی رو چند ماهه که از دیجی با تخفیف خوب گرفتم و واقعا راضیم گوشی خیلی سبک و خوش دسته و بر خلاف عکسش وقتی تو دست میگیرید متوجه میشید قاب پشتی پلاستیک بافتی هست و زیبایی و کیفیت خوبی داره و به هیچ وحه از دست لیز نمیخوره و خش بر نمیداره سخت افزار خیلی خوبی داره و ناامیدتون نمیکنه و از پس تقریبا تمام بازیهای گرافیکی و دیتا دار بر میاد فقط فقط فقط که حافظه داخلی یاری نمیکنه واقعا حیف دوربین اصلی متوسط ولی تو نور روز خوب عمل میکنه و سلفی خیلی خوبه داره ولی فیلم برداریش به هیچ وجه نمیشه فول اچ دی اسمشو گذاشت باتری کمی ضعیفه و تقریبا با ۳ ساعت تماشای فیلم و دو ساعت بازی تموم میشه ولی در کل بد نیست و با استفاده معقول میتونید ۲۴ روش حساب باز کنید در کل میتونم بگم این میان رده ال جی از همه لحاظ راضیتون میکنه و نسبت به پولی که میدید واقعا ارزش داره ,"باتری, دوربین اصلی","negative, neutral","['رو: Positive', 'س무: Positive', 'ترrijf: Positive', 'قاب پشتی: Positive', 'جمال: Positive', '品質: Positive', 'دست لیز: Negative', 'خش: Negative', 'سخت افزار: Positive', 'ناامیدی: Negative', 'حافظه: Negative', 'دörبین: Positive', 'سلفی: Positive', 'فیلمبرداری: Negative', 'باتری: Negative']"
